dec,var_Retraites,var_PSoc
d1,-0.00758769079920003,-0.016475510199417
d2,-0.0167048488789297,-0.0101150370437194
d3,-0.0196819606804985,-0.00679505686725797
d4,-0.0221606180729466,-0.00377389098726914
d5,-0.020694456020016,-0.00255585592300574
d6,-0.0197194894224245,-0.0017739404374741
d7,-0.0182967818348715,-0.0014091928966991
d8,-0.0175720336849453,-0.00118824515238786
d9,-0.0165878624598484,-0.000637129337435046
d10,-0.0133213255263363,-0.000295925161980203
