IDENT_MEN;VAG;NUMORDREABO;NB_ABONN;TYP_ABONN01;TYP_ABONN02;TYP_ABONN03;TYP_ABONN04;TYP_ABONN05;TYP_ABONN06;TYP_ABONN07;TYP_ABONN08;TYP_ABONN09;TYP_ABONN10;Nataudio;Proaudio;Msabonn;Msfacture;Msfactper;Abofixe;Cartemobile;Mcartemobile;Percartemobile;MSFACTPER_D;MSFACTURE_D;MCARTEMOBILE_D;PERCARTEMOBILE_D;MIMPUTINTERNET_D
00028;5;2;3;0;1;0;0;0;0;0;0;0;0;;1;10;10;1;;2;;;12;10;;;
00028;5;3;3;0;1;0;0;0;0;0;0;0;0;;2;7;7;1;;2;;;12;7;;;
00029;4;1;2;1;1;0;1;0;0;0;0;0;0;;2;40;40;1;;2;;;12;39;;;
00029;4;2;2;0;1;0;0;0;0;0;0;0;0;;1;9;9;1;;2;;;12;9;;;
00030;2;1;2;0;1;0;0;0;0;0;0;0;0;;1;13;13;1;;2;;;12;13;;;
00030;2;2;2;1;0;0;0;0;0;0;0;0;0;;;19;19;1;;2;;;12;19;;;
00032;1;1;3;0;1;0;0;0;0;0;0;0;0;;1;2;2;1;;2;;;12;2;;;
00032;1;2;3;1;0;0;1;0;0;0;0;0;0;;;38;38;1;;2;;;12;38;;;
00032;1;3;3;0;1;0;0;0;0;0;0;0;0;;2;15;15;1;;2;;;12;15;;;
00033;6;1;1;0;1;0;0;0;0;0;0;0;0;;1;38;38;1;;2;;;12;38;;;
00034;3;1;2;1;1;1;1;0;1;1;1;1;0;;2;50;70;1;;2;;;12;69;;;
00034;3;2;2;0;1;0;1;0;1;0;0;0;0;;1;15;15;1;;2;;;12;14;;;
00035;2;1;3;1;0;1;1;0;1;0;0;0;0;;1;35;35;1;;2;;;12;35;;;
00035;2;2;3;0;1;0;0;0;1;0;0;0;0;;2;2;2;1;;2;;;12;2;;;
00035;2;3;3;1;0;0;0;0;1;0;0;0;0;;3;10;10;1;;2;;;12;10;;;
00036;6;;;;;;;;;;;;;;;;;;;;;;;;;;156
00037;4;1;1;0;1;0;0;0;0;0;0;0;0;;1;44;44;1;;1;5;1J;12;44;5;48;
00038;1;1;2;1;1;1;0;1;0;0;0;0;0;;2;58;58;1;;2;;;12;58;;;
00038;1;2;2;0;1;0;0;0;0;0;0;0;0;;1;7;7;1;;2;;;12;7;;;
00039;1;1;2;0;1;0;0;0;0;0;0;0;0;;2;20;20;1;1;2;;;12;20;;;
00039;1;2;2;0;0;0;1;0;1;0;0;0;0;;1;40;40;1;1;2;;;12;40;;;
00041;3;1;1;0;0;1;0;0;0;0;0;0;0;;;9;9;1;;1;3;1H;12;9;3;48;
00042;6;1;1;1;0;1;1;0;0;0;0;0;0;;;72;72;1;;1;20;1M;12;72;20;12;
00043;1;1;3;1;0;1;1;0;0;0;0;0;0;;;33;33;1;;2;;;12;33;;;
00043;1;2;3;0;1;0;0;0;0;0;0;0;0;;2;10;10;1;;2;;;12;10;;;
00043;1;3;3;0;1;0;0;0;0;0;0;0;0;;1;10;10;1;;2;;;12;10;;;
00044;5;1;1;1;1;1;1;0;0;0;0;0;0;;1;100;100;1;;2;;;12;99;;;
00045;3;1;1;1;1;1;1;0;1;0;0;0;0;;1;57;57;1;;2;;;12;57;;;
00046;3;1;2;1;0;0;0;0;0;0;0;0;0;;;39;39;1;;2;;;12;39;;;
00046;3;2;2;0;1;0;0;0;0;0;0;0;0;;1;30;30;1;;2;;;12;30;;;
00047;5;1;3;1;0;1;1;0;0;0;0;0;0;;;56;56;1;;2;;;12;56;;;
00047;5;2;3;0;1;0;0;0;1;0;0;0;0;;1;36;36;1;;2;;;12;36;;;
00047;5;3;3;0;0;0;0;0;0;0;1;0;0;;;10;10;1;;2;;;12;10;;;
00048;3;1;3;1;0;0;1;0;0;0;0;0;0;;;27;27;1;;2;;;12;27;;;
00048;3;2;3;0;1;0;0;0;1;0;0;0;0;;1;20;20;1;;2;;;12;20;;;
00048;3;3;3;0;1;0;0;0;0;0;0;0;0;;2;6;6;1;;2;;;12;6;;;
00050;1;;;;;;;;;;;;;;;;;;;;;;;;;;164
00050;1;1;2;0;1;0;0;0;0;0;0;0;0;;1;25;25;1;;1;10;1M;12;25;10;12;
00050;1;2;2;1;0;0;0;0;0;0;0;0;0;;;62;62;1;;1;10;1M;12;62;10;12;
00051;1;1;2;1;0;1;0;1;0;0;0;0;0;;;60;60;1;;2;;;12;60;;;
00051;1;2;2;0;1;0;0;0;0;0;0;0;0;;1;80;80;1;;2;;;12;80;;;
00052;5;1;2;0;0;1;1;0;0;0;0;0;0;;;25;25;1;;2;;;12;25;;;
00052;5;2;2;0;1;0;0;0;1;0;0;0;0;;1;15;15;1;;2;;;12;15;;;
00053;4;1;1;1;0;0;0;0;0;0;0;0;0;;;23;23;1;;;;;12;23;;;
00054;3;1;3;1;0;0;0;0;0;0;0;0;0;;;65;65;1;;2;;;12;65;;;
00054;3;2;3;0;1;0;0;0;0;0;0;0;0;;1;30;30;1;;2;;;12;30;;;
00054;3;3;3;0;1;0;0;0;0;0;0;0;0;;2;30;30;1;;2;;;12;30;;;
00055;2;1;1;1;1;0;1;0;0;0;0;0;0;;1;70;70;1;;2;;;12;69;;;
00056;1;;;;;;;;;;;;;;;;;;;;;;;;;;287
00057;3;1;1;1;1;0;1;0;0;0;0;0;0;;1;40;40;1;;2;;;12;39;;;
00058;6;1;1;1;1;0;1;0;0;0;0;0;0;;2;54;54;1;;2;;;12;53;;;
00059;3;1;3;1;0;0;1;0;0;0;0;0;0;;;12;12;1;;2;;;12;12;;;
00059;3;2;3;0;0;1;0;0;0;0;0;0;0;;;50;50;1;;2;;;12;50;;;
00059;3;3;3;0;1;0;0;0;1;0;0;0;0;;1;40;40;1;;2;;;12;40;;;
00060;3;1;5;1;0;0;0;0;0;0;0;0;0;;;49;49;1;;1;80;1M;12;49;80;12;
00060;3;2;5;0;1;0;0;0;0;0;0;0;0;;1;20;20;1;;1;80;1M;12;20;80;12;
00060;3;3;5;0;1;0;0;0;0;0;0;0;0;;2;19;19;1;;1;80;1M;12;19;80;12;
00060;3;4;5;0;1;0;0;0;0;0;0;0;0;;3;19;19;1;;1;80;1M;12;19;80;12;
00060;3;5;5;0;0;1;0;0;0;0;0;0;0;;;49;49;1;;1;80;1M;12;49;80;12;
00062;1;1;3;1;0;1;1;0;0;0;0;0;0;;;55;100;1;;2;;;12;100;;;
00062;1;2;3;0;1;0;0;0;1;0;0;0;0;;1;45;45;1;;2;;;12;45;;;
00062;1;3;3;0;1;0;0;0;1;0;0;0;0;;2;90;90;1;;2;;;12;90;;;
00063;6;;;;;;;;;;;;;;;;;;;;;;;;;;197
00063;6;1;1;0;1;0;0;0;0;0;0;0;0;;1;6;6;1;;2;;;12;6;;;
00064;6;;;;;;;;;;;;;;;;;;;;;;;;;;310
00064;6;1;4;1;0;1;0;0;0;0;0;0;0;;;13;13;1;;2;;;12;13;;;
00064;6;2;4;0;1;0;0;0;0;0;0;0;0;;1;49;49;1;;2;;;12;49;;;
00064;6;3;4;0;1;0;0;0;0;0;0;0;0;;2;20;20;1;;2;;;12;20;;;
