IDENT_MEN;VAG;NUMVEHAUT;NBVELOO;NBVELO;NB2R;NAUT;Natvelo;Quivelo;Acqvelo;Lieuvelo;Crevelo;Mvelo;Privelo;Nat2r;Pre2r;MARQUE_D;Puiss2r;Frais2r;Rec2r;Lieu2r;Acq2r;Cre2r;Mcre2r;Pri2r;NatAut;PreAut;FraisAut;Mfraisaut;Recaut;Lieuaut;Acqaut;Creaut;Mcreaut;Priaut;FRAIS2R_D;MCRE2R_D;MCREAUT_D;MFRAISAUT_D;MVELO_D;PRI2R_D;PRIVELO_D;PRIAUT_D
00237;1;1;3;1;;;1;3;1;7;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
00249;6;1;1;0;1;;;;;;;;;1;125;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00254;3;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;1;3;2;2;;250;;;;;;;;;;;;;;;;250;;
00262;3;1;1;1;;;2;3;1;7;2;;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;125;
00265;2;1;2;0;1;;;;;;;;;4;SUSUKI 125 BURGMAN;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00268;1;1;2;2;;;3;1;2;10;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
00268;1;2;2;2;;;3;2;1;7;2;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;
00277;3;1;;;1;;;;;;;;;4;BOOSTER;YAMAHA 50;4;450;1;3;2;2;;800;;;;;;;;;;;450;;;;;800;;
00279;1;1;2;1;;;8;1;2;10;2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;
00283;2;1;3;0;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
00284;4;1;;;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;1;0;1;2;2;2;;3800;;;;;;;;;;;;;;;;3800;;
00291;2;1;2;0;1;;;;;;;;;4;SCOOTER;NON SPECIFIE;3;80;2;;;;;;;;;;;;;;;;80;;;;;;;
00295;3;1;;;;1;;;;;;;;;;;;;;;;;;;5;CAMION WOLKSWAGEN IT 35;2;;2;;;;;;;;;;;;;
00297;6;1;5;1;;;3;2;1;7;2;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;
00304;5;1;3;1;;;6;3;1;8;2;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;
00306;6;1;4;0;3;;;;;;;;;1;DAELIM;DAELIM - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00306;6;2;4;0;3;;;;;;;;;1;HARLEY;HARLEY-DAVIDSON;1;1000;2;;;;;;;;;;;;;;;;1000;;;;;;;
00306;6;3;4;0;3;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00307;5;1;5;1;;;1;4;1;7;2;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;
00308;1;1;;;1;1;;;;;;;;4;SCOOTER;NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
00308;1;2;;;1;1;;;;;;;;;;;;;;;;;;;2;;1;100;2;;;;;;;;;100;;;;
00311;1;1;3;1;4;1;1;2;1;8;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
00311;1;2;3;1;4;1;;;;;;;;1;ITAL JET 50;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00311;1;3;3;1;4;1;;;;;;;;1;PW 50;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
00311;1;4;3;1;4;1;;;;;;;;1;VMAX YAMAHA;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00311;1;5;3;1;4;1;;;;;;;;1;XR HONDA;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
00311;1;6;3;1;4;1;;;;;;;;;;;;;;;;;;;5;QUAD;2;;2;;;;;;;;;;;;;
00312;3;1;1;0;1;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;4;500;1;3;2;2;;2000;;;;;;;;;;;500;;;;;2000;;
00314;3;1;1;0;1;;;;;;;;;4;YAMAHA 50;YAMAHA 50;4;200;2;;;;;;;;;;;;;;;;200;;;;;;;
00315;4;1;4;0;;2;;;;;;;;;;;;;;;;;;;3;;1;1370;2;;;;;;;;;1370;;;;
00315;4;2;4;0;;2;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;1;3;2;2;;5000;;;;;;;;5000
00331;6;1;3;1;;;4;1;1;3;2;;291;;;;;;;;;;;;;;;;;;;;;;;;;;;;291;
00335;4;1;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
00342;3;1;;;1;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
00345;1;1;2;0;2;;;;;;;;;1;KAWAZKI NRERN6;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
