IDENT_MEN;VAG;NUMVEHAUT;NBVELOO;NBVELO;NB2R;NAUT;Natvelo;Quivelo;Acqvelo;Lieuvelo;Crevelo;Mvelo;Privelo;Nat2r;Pre2r;MARQUE_D;Puiss2r;Frais2r;Rec2r;Lieu2r;Acq2r;Cre2r;Mcre2r;Pri2r;NatAut;PreAut;FraisAut;Mfraisaut;Recaut;Lieuaut;Acqaut;Creaut;Mcreaut;Priaut;FRAIS2R_D;MCRE2R_D;MCREAUT_D;MFRAISAUT_D;MVELO_D;PRI2R_D;PRIVELO_D;PRIAUT_D
03098;2;1;3;1;;;3;1;1;7;2;;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;249;
03099;5;1;;;1;;;;;;;;;1;HONDA INTEGRA;;2;116;1;3;2;2;;6000;;;;;;;;;;;116;;;;;6000;;
03101;5;1;3;0;1;;;;;;;;;4;SCOOTER YAMAHA;YAMAHA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03109;3;1;2;0;1;;;;;;;;;1;125 KAWASAKI;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03119;2;1;3;0;1;;;;;;;;;4;PIAGGIO;PIAGGIO - NON SPECIFIE;2;150;2;;;;;;;;;;;;;;;;150;;;;;;;
03120;1;1;3;1;;;3;1;1;7;2;;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;359;
03122;3;1;2;2;;;1;3;1;7;2;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;
03122;3;2;2;2;;;3;2;2;10;2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;
03125;6;1;;;1;;;;;;;;;4;BOOSTER;YAMAHA 50;3;999999;2;;;;;;;;;;;;;;;;50;;;;;;;
03128;4;1;4;3;;;1;3;2;3;2;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;
03128;4;2;4;3;;;1;4;2;3;2;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;
03128;4;3;4;3;;;3;1;2;3;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
03141;5;1;1;0;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
03147;1;1;7;0;1;;;;;;;;;3;103;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03150;4;1;;;1;;;;;;;;;4;PEUGEOT LUDIX;PEUGEOT - NON SPECIFIE;4;425;2;;;;;;;;;;;;;;;;425;;;;;;;
03154;5;1;;;1;;;;;;;;;4;PEIGEOT SPEAD FIGHT;;3;142;1;2;1;2;;1990;;;;;;;;;;;142;;;;;1990;;
03160;5;1;;;1;;;;;;;;;4;PIAGGIO MP3;PIAGGIO - NON SPECIFIE;2;150;1;2;1;2;;12000;;;;;;;;;;;150;;;;;12000;;
03170;2;1;2;0;1;;;;;;;;;1;MOTO PIAGGIO MP3 500;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03175;4;1;3;0;1;;;;;;;;;1;HONDA TRANSALP;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03180;2;1;1;1;;;5;2;2;3;2;;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;1100;
03181;1;1;4;1;;1;3;3;1;7;2;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;
03181;1;2;4;1;;1;;;;;;;;;;;;;;;;;;;2;;1;330;1;3;2;2;;7000;;;;330;;;;7000
03185;3;1;2;0;1;;;;;;;;;4;PEUGEOT 125;;3;150;2;;;;;;;;;;;;;;;;150;;;;;;;
03194;3;1;1;0;1;;;;;;;;;4;BURMAN SUZUKI;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03198;1;1;5;4;;;1;6;1;7;2;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;
03198;1;2;5;4;;;2;7;1;7;2;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;
03198;1;3;5;4;;;8;4;1;4;2;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;
03198;1;4;5;4;;;8;5;1;4;2;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;
03201;1;1;1;0;;1;;;;;;;;;;;;;;;;;;;5;QUAD;1;999999;2;;;;;;;;;300;;;;
03209;2;1;3;1;1;;4;2;2;9;2;;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;179;
03209;2;2;3;1;1;;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03211;1;1;;;1;;;;;;;;;4;SCOOTER;;1;999999;2;;;;;;;;;;;;;;;;200;;;;;;;
03217;3;1;1;1;;;3;1;1;8;2;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;
03220;5;1;1;1;;;3;1;1;7;2;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;
03227;6;1;3;1;;;4;3;1;7;2;;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;279;
03229;3;1;1;0;1;;;;;;;;;4;SIXTEEN SUZUKI;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03234;1;1;3;0;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03238;5;1;;;2;1;;;;;;;;1;1800 GOLDWING;;1;400;2;;;;;;;;;;;;;;;;400;;;;;;;
03238;5;2;;;2;1;;;;;;;;1;DUCATI;DUCATI - NON SPECIFIE;1;500;2;;;;;;;;;;;;;;;;500;;;;;;;
03238;5;3;;;2;1;;;;;;;;;;;;;;;;;;;3;;1;150;2;;;;;;;;;150;;;;
03241;4;1;6;1;;;3;1;1;7;2;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;
03243;6;1;3;0;1;;;;;;;;;4;SPIRIT;;4;500;2;;;;;;;;;;;;;;;;500;;;;;;;
03247;6;1;1;1;;;3;2;1;4;2;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;
03249;1;1;;;1;;;;;;;;;1;HONDA 900;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03256;5;1;2;2;;;3;1;1;7;2;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;
03256;5;2;2;2;;;3;2;1;7;2;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;
03261;2;1;;;1;;;;;;;;;4;PS HONDA;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03265;4;1;;;1;;;;;;;;;4;YAMAHA MBK;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03272;1;1;3;1;;;2;1;2;9;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
03277;5;1;1;0;1;1;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03277;5;2;1;0;1;1;;;;;;;;;;;;;;;;;;;3;;2;;1;3;2;2;;51000;;;;;;;;51000
03280;5;1;1;0;1;;;;;;;;;1;YAMAHA 125 DT;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03284;5;1;;;1;;;;;;;;;1;SUZUKI;SUZUKI - NON SPECIFIE;2;0;1;3;2;2;;580;;;;;;;;;;;;;;;;580;;
03293;1;1;3;1;;;5;3;2;10;2;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;
03294;4;1;1;0;1;;;;;;;;;4;HONDA NSC 50R;;3;0;1;2;1;2;;1009;;;;;;;;;;;;;;;;1009;;
03299;3;1;1;0;2;;;;;;;;;1;MOTO HONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03299;3;2;1;0;2;;;;;;;;;1;MOTO YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03304;1;1;4;1;;;2;4;1;7;2;;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;1800;
03311;3;1;4;0;1;;;;;;;;;1;YAMAHA DIVERSION 900;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03322;3;1;7;1;;;4;4;1;7;2;;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;270;
03331;4;1;1;1;;;2;1;2;10;2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;
03336;2;1;2;2;;1;7;1;2;8;2;;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;
03336;2;2;2;2;;1;7;2;2;8;2;;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;1500;
03336;2;3;2;2;;1;;;;;;;;;;;;;;;;;;;2;;1;300;2;;;;;;;;;300;;;;
03338;4;1;4;1;1;;3;2;1;7;2;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;
03338;4;2;4;1;1;;;;;;;;;4;SCOOTER PEUGEOT;PEUGEOT - NON SPECIFIE;4;80;2;;;;;;;;;;;;;;;;80;;;;;;;
03339;6;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03343;4;1;2;1;1;;1;3;1;8;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
03343;4;2;2;1;1;;;;;;;;;1;KIMKO;KYMCO - NON SPECIFIE;3;150;2;;;;;;;;;;;;;;;;150;;;;;;;
03350;6;1;5;2;;;1;4;1;7;2;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;
03350;6;2;5;2;;;4;2;1;7;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
03363;4;1;3;1;;;3;2;1;7;1;50;200;;;;;;;;;;;;;;;;;;;;;;;;;;50;;200;
03369;1;1;2;0;1;;;;;;;;;1;HONDA VARADERO;HONDA 1000;1;250;2;;;;;;;;;;;;;;;;250;;;;;;;
03372;5;1;;;1;;;;;;;;;4;PEUGEOT V CLIC;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03379;4;1;1;1;;;1;4;1;7;2;;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;99;
03381;3;1;2;0;1;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03392;1;1;2;2;;;2;5;1;8;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
03392;1;2;2;2;;;3;6;1;8;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
03411;2;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;200;1;3;2;2;;1400;;;;;;;;;;;200;;;;;1400;;
03412;2;1;4;0;1;;;;;;;;;4;KYMCO;KYMCO - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03416;1;1;3;2;;;3;2;1;4;2;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;
03416;1;2;3;2;;;3;3;1;4;2;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;
03420;1;1;;;1;;;;;;;;;1;VESPA;VESPA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03434;3;1;2;0;1;;;;;;;;;1;YAMAHA TDR 125;YAMAHA 125;2;360;2;;;;;;;;;;;;;;;;360;;;;;;;
03451;1;1;1;0;3;;;;;;;;;4;HONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03451;1;2;1;0;3;;;;;;;;;4;LANBRETA;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03451;1;3;1;0;3;;;;;;;;;4;TMAX;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03454;4;1;2;0;1;;;;;;;;;1;HONDA 1800;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03458;3;1;;;2;;;;;;;;;1;DUCATI;DUCATI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03458;3;2;;;2;;;;;;;;;1;TERROT;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03459;4;1;3;1;;;1;3;2;10;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
03460;5;1;;;1;;;;;;;;;1;HONDA MT09;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03463;5;1;2;0;1;;;;;;;;;1;KJ20;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03473;4;1;1;0;;1;;;;;;;;;;;;;;;;;;;3;;1;800;2;;;;;;;;;800;;;;
03474;1;1;2;1;;;3;2;1;7;2;;590;;;;;;;;;;;;;;;;;;;;;;;;;;;;590;
03485;1;1;6;1;;;4;1;1;8;2;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;
03486;1;1;1;0;1;;;;;;;;;3;PEUGEOT;PEUGEOT - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03508;2;1;4;0;;2;;;;;;;;;;;;;;;;;;;3;;2;;2;;;;;;;;;;;;;
03508;2;2;4;0;;2;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;2;;;;;;;;;;;;;
03517;5;1;2;0;2;;;;;;;;;1;BMW;BMW - NON SPECIFIE;1;999999;2;;;;;;;;;;;;;;;;300;;;;;;;
03517;5;2;2;0;2;;;;;;;;;1;DUCATTI;;1;999999;2;;;;;;;;;;;;;;;;119;;;;;;;
03519;1;1;2;0;1;;;;;;;;;3;MOTOBECANE;MOTOBECANE - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03520;1;1;1;1;;;3;2;1;8;2;;512;;;;;;;;;;;;;;;;;;;;;;;;;;;;512;
03530;5;1;2;1;;1;1;3;2;9;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
03530;5;2;2;1;;1;;;;;;;;;;;;;;;;;;;1;;2;;1;3;2;2;;800;;;;;;;;800
03534;3;1;1;0;1;;;;;;;;;3;103;;4;0;1;3;2;2;;300;;;;;;;;;;;;;;;;300;;
03537;3;1;1;1;;;3;1;1;7;2;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;350;
03539;5;1;3;1;;;1;4;2;3;2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;
03545;1;1;;;;1;;;;;;;;;;;;;;;;;;;5;tracteur;2;;2;;;;;;;;;;;;;
03553;6;1;2;0;1;;;;;;;;;4;PIAGGIO 125;PIAGGIO 125;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03554;2;1;2;0;1;1;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03554;2;2;2;0;1;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
03583;6;1;1;0;;1;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;2;;;;;;;;;;;;;
03587;6;1;3;2;;;3;3;2;10;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
03587;6;2;3;2;;;3;4;2;10;2;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;
03589;6;1;1;1;1;;3;5;2;3;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
03589;6;2;1;1;1;;;;;;;;;4;SCOOTER PEUGEOT;PEUGEOT - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03591;3;1;1;1;;;3;1;1;7;2;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;
03598;5;1;2;0;1;;;;;;;;;1;KAWASAKI Z1000;KAWAZAKI 1000;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03600;5;1;1;0;1;;;;;;;;;4;YAMAHA;YAMAHA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03611;6;1;4;2;;;4;1;1;7;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
03611;6;2;4;2;;;4;2;1;3;2;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;300;
03615;5;1;2;0;1;1;;;;;;;;4;MBK;MBK - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03615;5;2;2;0;1;1;;;;;;;;;;;;;;;;;;;5;TRACTEUR;2;;2;;;;;;;;;;;;;
03635;5;1;1;0;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;3;80;1;4;2;2;;600;;;;;;;;;;;80;;;;;600;;
03636;3;1;;;1;;;;;;;;;1;125 YAMAHA DTLC;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03637;4;1;;;1;;;;;;;;;1;Z1000SX;;1;0;1;2;2;2;;8000;;;;;;;;;;;;;;;;8000;;
03647;5;1;1;1;;;3;1;2;3;2;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;
03661;5;1;1;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;2;;;;;;;;;;;;;
03671;5;1;2;1;;;4;2;1;7;2;;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;
03677;5;1;3;0;3;;;;;;;;;1;DJEBEL 600 SUZUKI;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03677;5;2;3;0;3;;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03677;5;3;3;0;3;;;;;;;;;1;SUZUKI BANDIT;SUZUKI - NON SPECIFIE;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03681;2;1;8;2;;;3;4;2;7;2;;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;
03681;2;2;8;2;;;6;3;2;10;2;;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;280;
03688;3;1;4;2;;;1;4;1;8;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
03688;3;2;4;2;;;3;2;1;8;2;;229;;;;;;;;;;;;;;;;;;;;;;;;;;;;229;
03689;6;1;3;0;2;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;1;397;2;;;;;;;;;;;;;;;;397;;;;;;;
03689;6;2;3;0;2;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;3;235;2;;;;;;;;;;;;;;;;235;;;;;;;
03696;3;1;4;0;1;;;;;;;;;1;BMW;BMW - NON SPECIFIE;1;1;2;;;;;;;;;;;;;;;;1;;;;;;;
03697;1;1;2;1;;;1;3;1;7;2;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;
03710;4;1;2;0;1;;;;;;;;;3;VOGUE;;4;0;1;3;2;2;;100;;;;;;;;;;;;;;;;100;;
03712;6;1;;;1;;;;;;;;;4;PEUGEOT;PEUGEOT - NON SPECIFIE;2;120;2;;;;;;;;;;;;;;;;120;;;;;;;
03727;6;1;3;0;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
03730;6;1;4;1;;;3;1;1;7;2;;470;;;;;;;;;;;;;;;;;;;;;;;;;;;;470;
03736;2;1;3;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03739;5;1;5;0;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
03746;1;1;2;0;1;;;;;;;;;4;SCOOTER;NON SPECIFIE;3;999999;2;;;;;;;;;;;;;;;;60;;;;;;;
03750;1;1;2;0;1;;;;;;;;;4;HONDA;HONDA - NON SPECIFIE;2;150;2;;;;;;;;;;;;;;;;150;;;;;;;
03753;1;1;5;0;1;;;;;;;;;4;HONDA PCX;;2;50;2;;;;;;;;;;;;;;;;50;;;;;;;
03767;4;1;1;1;;;1;3;1;7;2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;
03771;5;1;3;0;1;;;;;;;;;1;KTM;KTM - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03773;2;1;;;1;;;;;;;;;4;SCOOTER PEUGEOT;PEUGEOT - NON SPECIFIE;3;999999;2;;;;;;;;;;;;;;;;50;;;;;;;
03775;5;1;;;1;;;;;;;;;4;SCOOTER;NON SPECIFIE;4;0;1;2;1;2;;1500;;;;;;;;;;;;;;;;1500;;
03789;1;1;;;;1;;;;;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;
03792;6;1;1;0;1;;;;;;;;;1;600 YAMAHA DIVERSION;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03798;3;1;3;1;;;4;1;1;7;2;;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;
03803;3;1;1;0;1;;;;;;;;;1;HARLEY DAVIDSON ELECTRA GLYD;;1;0;2;;;;;;;;;;;;;;;;;;;;;;;
03809;5;1;;;1;;;;;;;;;4;KIMKO;KYMCO - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03812;1;1;5;0;;1;;;;;;;;;;;;;;;;;;;2;;2;;1;3;2;2;;44000;;;;;;;;44000
03832;5;1;4;2;;;3;2;1;7;2;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;
03832;5;2;4;2;;;3;3;1;7;2;;279;;;;;;;;;;;;;;;;;;;;;;;;;;;;279;
03833;5;1;1;0;;1;;;;;;;;;;;;;;;;;;;2;;1;300;2;;;;;;;;;300;;;;
03835;5;1;2;0;2;;;;;;;;;1;750GSXF SUZUKI;;2;99;2;;;;;;;;;;;;;;;;99;;;;;;;
03835;5;2;2;0;2;;;;;;;;;1;KTM  400;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03849;2;1;;;;1;;;;;;;;;;;;;;;;;;;5;QUAD;2;;2;;;;;;;;;;;;;
03853;4;1;2;0;;1;;;;;;;;;;;;;;;;;;;1;;1;999999;2;;;;;;;;;325;;;;
03860;2;1;;;1;;;;;;;;;4;YAMAHA;YAMAHA - NON SPECIFIE;1;999999;1;2;1;2;;2800;;;;;;;;;;;200;;;;;2800;;
03876;4;1;1;1;;;3;3;1;7;2;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;
03895;4;1;3;1;4;;3;1;1;7;2;;999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;1300;
03895;4;2;3;1;4;;;;;;;;;1;KTM;KTM - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03895;4;3;3;1;4;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03895;4;4;3;1;4;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03895;4;5;3;1;4;;;;;;;;;4;HTJIN;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03902;2;1;;;1;;;;;;;;;4;MBK  OVETTO;;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
03910;3;1;3;0;1;;;;;;;;;4;PIAGGIE;;4;999999;1;3;2;2;;500;;;;;;;;;;;400;;;;;500;;
03926;5;1;3;0;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03931;2;1;1;1;;;1;2;1;7;2;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;
03938;2;1;4;2;;;1;4;1;4;2;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;
03938;2;2;4;2;;;6;3;2;9;2;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;
03948;5;1;2;0;1;;;;;;;;;1;BMW 1600 RT;;1;0;1;2;2;2;;22000;;;;;;;;;;;;;;;;22000;;
03951;3;1;4;0;1;;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03956;1;1;;;1;;;;;;;;;4;PEUGOT;;4;0;1;3;2;2;;300;;;;;;;;;;;;;;;;300;;
03959;3;1;3;1;;;3;4;1;7;2;;390;;;;;;;;;;;;;;;;;;;;;;;;;;;;390;
03960;2;1;1;0;1;;;;;;;;;1;HONDA 450;;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03966;5;1;;;;1;;;;;;;;;;;;;;;;;;;5;COLLECTION;2;;2;;;;;;;;;;;;;
03969;6;1;4;0;1;;;;;;;;;1;BW 200RT;;1;1000;2;;;;;;;;;;;;;;;;1000;;;;;;;
03972;4;1;3;1;1;;2;2;2;10;2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;
03972;4;2;3;1;1;;;;;;;;;4;SCOOTER PEUGEOT;PEUGEOT - NON SPECIFIE;3;279;2;;;;;;;;;;;;;;;;279;;;;;;;
03976;4;1;;;1;;;;;;;;;4;KEEAY;;2;360;2;;;;;;;;;;;;;;;;360;;;;;;;
03978;4;1;9;1;;;2;2;2;8;2;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;
03980;5;1;4;0;1;;;;;;;;;1;KAWASAKI;KAWASAKI - NON SPECIFIE;2;999999;2;;;;;;;;;;;;;;;;50;;;;;;;
03984;2;1;3;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
03990;1;1;6;3;;;1;4;2;10;2;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;
03990;1;2;6;3;;;2;2;2;3;2;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;
03990;1;3;6;3;;;4;3;1;7;2;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;170;
03991;2;1;2;0;1;;;;;;;;;1;YAMAHA;YAMAHA - NON SPECIFIE;2;350;2;;;;;;;;;;;;;;;;350;;;;;;;
03996;2;1;2;0;1;;;;;;;;;4;KYMCO DINKSTREET;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
03998;4;1;9;1;;;6;1;1;7;2;;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;750;
04004;2;1;3;1;1;;2;4;1;8;2;;299;;;;;;;;;;;;;;;;;;;;;;;;;;;;299;
04004;2;2;3;1;1;;;;;;;;;4;SCOOTER BLACK MAGIC;;3;0;2;;;;;;;;;;;;;;;;;;;;;;;
04005;5;1;1;1;;;1;5;2;10;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
04009;6;1;1;1;;;3;3;2;3;2;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;
04013;2;1;3;1;;;3;1;1;8;2;;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;900;
04014;1;1;5;2;4;;5;1;2;3;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
04014;1;2;5;2;4;;5;2;2;3;2;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;
04014;1;3;5;2;4;;;;;;;;;1;HONDA;HONDA - NON SPECIFIE;2;0;2;;;;;;;;;;;;;;;;;;;;;;;
04014;1;4;5;2;4;;;;;;;;;1;SUZUKI VSTROM;;1;0;1;2;2;2;;4000;;;;;;;;;;;;;;;;4000;;
04014;1;5;5;2;4;;;;;;;;;3;PEUGEOT;PEUGEOT - NON SPECIFIE;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
04014;1;6;5;2;4;;;;;;;;;4;STALKER;GILERA 50;4;0;2;;;;;;;;;;;;;;;;;;;;;;;
04020;1;1;;;1;;;;;;;;;4;MBK;MBK - NON SPECIFIE;3;0;1;3;2;2;;500;;;;;;;;;;;;;;;;500;;
04021;2;1;2;2;;;3;1;1;7;2;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;
04021;2;2;2;2;;;4;1;1;8;2;;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;329;
04031;6;1;8;1;;;1;3;2;3;2;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;
04038;2;1;4;2;;;1;3;2;10;2;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;
