annee,mois,indice
2007,4,90.39
2007,5,90.61
2007,6,90.72
2007,7,90.49
2007,8,90.86
2007,9,90.96
2007,10,91.19
2007,11,91.69
2007,12,92.03
2008,1,91.92
2008,2,92.12
2008,3,92.81
2008,4,93.12
2008,5,93.62
2008,6,93.96
2008,7,93.76
2008,8,93.73
2008,9,93.67
2008,10,93.62
2008,11,93.18
2008,12,92.95
2009,1,92.57
2009,2,92.92
2009,3,93.09
2009,4,93.24
2009,5,93.38
2009,6,93.5
2009,7,93.08
2009,8,93.56
2009,9,93.33
2009,10,93.42
2009,11,93.55
2009,12,93.8
2010,1,93.59
2010,2,94.11
2010,3,94.57
2010,4,94.81
2010,5,94.92
2010,6,94.91
2010,7,94.64
2010,8,94.86
2010,9,94.79
2010,10,94.91
2010,11,95.02
2010,12,95.45
2011,1,95.22
2011,2,95.67
2011,3,96.45
2011,4,96.78
2011,5,96.83
2011,6,96.91
2011,7,96.48
2011,8,96.98
2011,9,96.91
2011,10,97.14
2011,11,97.41
2011,12,97.8
2012,1,97.46
2012,2,97.86
2012,3,98.67
2012,4,98.8
2012,5,98.75
2012,6,98.78
2012,7,98.35
2012,8,99.0
2012,9,98.76
2012,10,98.94
2012,11,98.79
2012,12,99.1
2013,1,98.6
2013,2,98.88
2013,3,99.63
2013,4,99.48
2013,5,99.54
2013,6,99.7
2013,7,99.4
2013,8,99.86
2013,9,99.63
2013,10,99.5
2013,11,99.46
2013,12,99.8
2014,1,99.24
2014,2,99.79
2014,3,100.24
2014,4,100.2
2014,5,100.22
2014,6,100.18
2014,7,99.86
2014,8,100.3
2014,9,99.92
2014,10,99.95
2014,11,99.78
2014,12,99.86
2015,1,98.86
2015,2,99.52
2015,3,100.17
2015,4,100.28
2015,5,100.52
2015,6,100.44
2015,7,100.03
2015,8,100.35
2015,9,99.95
2015,10,100.01
2015,11,99.82
2015,12,100.04
2016,1,99.08
2016,2,99.33
2016,3,100.02
2016,4,100.09
2016,5,100.5
2016,6,100.63
2016,7,100.25
2016,8,100.58
2016,9,100.34
2016,10,100.37
2016,11,100.35
2016,12,100.65
2017,1,100.41
2017,2,100.53
2017,3,101.17
2017,4,101.26
2017,5,101.31
2017,6,101.32
2017,7,100.97
2017,8,101.49
2017,9,101.33
2017,10,101.43
2017,11,101.53
2017,12,101.85
2018,1,101.75
2018,2,101.72
2018,3,102.75
2018,4,102.92
2018,5,103.36
2018,6,103.37
2018,7,103.28
2018,8,103.78
2018,9,103.56
2018,10,103.67
2018,11,103.45
2018,12,103.47
2019,1,103.01
2019,2,103.06
2019,3,103.89
2019,4,104.22
2019,5,104.33
2019,6,104.58
2019,7,104.38
2019,8,104.86
2019,9,104.5
2019,10,104.46
2019,11,104.52
2019,12,104.98
2020,1,104.54
2020,2,104.53
2020,3,104.59
2020,4,104.56
2020,5,104.71
2020,6,104.79
2020,7,105.19
2020,8,105.09
2020,9,104.55
2020,10,104.51
2020,11,104.73
2020,12,104.96
2021,1,105.12
2021,2,105.12
2021,3,105.75
2021,4,105.86
2021,5,106.2
2021,6,106.34
2021,7,106.4
2021,8,107.05
2021,9,106.81
2021,10,107.25
2021,11,107.64
2021,12,107.85
2022,1,108.12
2022,2,108.94
2022,3,110.49
2022,4,110.97
2022,5,111.72
2022,6,112.55
2022,7,112.87
2022,8,113.38
2022,9,112.74
2022,10,113.9
2022,11,114.26
2022,12,114.16
2023,1,114.6
2023,2,115.78
2023,3,116.79
2023,4,117.5
2023,5,117.44
2023,6,117.65
2023,7,117.71
2023,8,118.89
2023,9,118.26
2023,10,118.43
2023,11,118.23
2023,12,118.39
2024,1,118.19
2024,2,119.21
2024,3,119.47
2024,4,120.07
2024,5,120.11
2024,6,120.2
2024,7,120.42
2024,8,121.06
2024,9,119.56
2024,10,119.89
2024,11,119.72
2024,12,119.95
2025,1,120.14
2025,2,120.16
2025,3,120.38
2025,4,121.06
2025,5,120.9
2025,6,121.36
2025,7,121.62
2025,8,122.13
2025,9,120.95
2025,10,121.02
2025,11,120.8
2025,12,120.9
