division,annee,mois,indice
tabac,2013,5,93.29
tabac,2013,6,93.29
tabac,2013,7,94.98
tabac,2013,8,96.39
tabac,2013,9,96.39
tabac,2013,10,96.39
tabac,2013,11,96.39
tabac,2013,12,96.39
tabac,2014,1,98.45
tabac,2014,2,99.76
tabac,2014,3,99.77
tabac,2014,4,99.77
tabac,2014,5,99.77
tabac,2014,6,99.77
tabac,2014,7,99.78
tabac,2014,8,99.79
tabac,2014,9,99.79
tabac,2014,10,99.79
tabac,2014,11,99.79
tabac,2014,12,99.79
tabac,2015,1,99.79
tabac,2015,2,99.79
tabac,2015,3,100.04
tabac,2015,4,100.04
tabac,2015,5,100.04
tabac,2015,6,100.04
tabac,2015,7,100.04
tabac,2015,8,100.04
tabac,2015,9,100.04
tabac,2015,10,100.04
tabac,2015,11,100.04
tabac,2015,12,100.04
tabac,2016,1,100.04
tabac,2016,2,100.04
tabac,2016,3,100.06
tabac,2016,4,100.09
tabac,2016,5,100.09
tabac,2016,6,100.09
tabac,2016,7,100.13
tabac,2016,8,100.17
tabac,2016,9,100.17
tabac,2016,10,100.17
tabac,2016,11,100.17
tabac,2016,12,100.17
tabac,2017,1,100.17
tabac,2017,2,101.04
tabac,2017,3,102.87
tabac,2017,4,102.94
tabac,2017,5,102.72
tabac,2017,6,102.54
tabac,2017,7,102.54
tabac,2017,8,102.54
tabac,2017,9,102.54
tabac,2017,10,102.55
tabac,2017,11,104.6
tabac,2017,12,106.19
tabac,2018,1,105.97
tabac,2018,2,105.98
tabac,2018,3,119.92
tabac,2018,4,119.96
tabac,2018,5,119.21
tabac,2018,6,119.24
tabac,2018,7,119.74
tabac,2018,8,119.77
tabac,2018,9,119.8
tabac,2018,10,119.79
tabac,2018,11,119.76
tabac,2018,12,119.76
tabac,2019,1,120.77
tabac,2019,2,120.77
tabac,2019,3,129.58
tabac,2019,4,129.65
tabac,2019,5,130.0
tabac,2019,6,130.01
tabac,2019,7,130.23
tabac,2019,8,130.24
tabac,2019,9,130.28
tabac,2019,10,130.28
tabac,2019,11,138.11
tabac,2019,12,138.12
tabac,2020,1,138.21
tabac,2020,2,138.26
tabac,2020,3,147.41
tabac,2020,4,147.41
tabac,2020,5,148.04
tabac,2020,6,148.11
tabac,2020,7,148.19
tabac,2020,8,148.2
tabac,2020,9,148.19
tabac,2020,10,148.18
tabac,2020,11,155.4
tabac,2020,12,155.34
tabac,2021,1,155.83
tabac,2021,2,155.9
tabac,2021,3,155.92
tabac,2021,4,155.95
tabac,2021,5,155.96
tabac,2021,6,155.96
tabac,2021,7,155.71
tabac,2021,8,155.71
tabac,2021,9,155.33
tabac,2021,10,155.33
tabac,2021,11,155.33
tabac,2021,12,155.33
tabac,2022,1,155.68
tabac,2022,2,155.78
tabac,2022,3,155.79
tabac,2022,4,155.8
tabac,2022,5,155.74
tabac,2022,6,155.74
tabac,2022,7,155.79
tabac,2022,8,155.78
tabac,2022,9,155.8
tabac,2022,10,155.8
tabac,2022,11,155.84
tabac,2022,12,155.85
tabac,2023,1,156.05
tabac,2023,2,156.06
tabac,2023,3,167.94
tabac,2023,4,170.51
tabac,2023,5,171.06
tabac,2023,6,171.07
tabac,2023,7,171.12
tabac,2023,8,171.13
tabac,2023,9,171.15
tabac,2023,10,171.15
tabac,2023,11,171.16
tabac,2023,12,171.16
tabac,2024,1,182.22
tabac,2024,2,185.18
tabac,2024,3,185.92
tabac,2024,4,185.94
tabac,2024,5,185.97
tabac,2024,6,186.03
tabac,2024,7,186.04
tabac,2024,8,186.05
tabac,2024,9,185.99
tabac,2024,10,185.99
tabac,2024,11,186.12
tabac,2024,12,186.12
tabac,2025,1,193.17
tabac,2025,2,193.5
tabac,2025,3,193.55
tabac,2025,4,193.57
tabac,2025,5,193.6
tabac,2025,6,193.54
tabac,2025,7,193.56
tabac,2025,8,193.56
tabac,2025,9,193.58
tabac,2025,10,193.58
tabac,2025,11,193.72
tabac,2025,12,193.71
