config,Passer à temps plein (même taux horaire),Temps plein au SMIC,Ajouter un second revenu (1 SMIC)
Personne seule,27.774924007926106,67.2027237725929,NA
Famille monoparentale,16.424263371630072,38.9754354664513,NA
Couple mono-actif sans enfant,40.958476449282536,62.1169218923773,82.83041204188206
Couple mono-actif avec enfant(s),25.2075920498475,41.55076381764351,59.49549327610612
Couple bi-actif avec enfant(s),17.783003077151452,49.83640070252844,NA
