annee,Observé,Sans soutien activité
2005,8.815799460813391,9.228461350327926
2006,8.661423892720006,9.220614038263355
2007,9.084031339958475,9.663246229757199
2008,8.936564774487907,9.55818480457016
2009,8.80263771868469,9.586656166466256
2010,8.998040366639854,9.891218979464583
2011,9.63036734440942,10.53094866353337
2012,9.741843984356406,10.561167018068868
2013,9.186318719888753,10.040644479336642
2014,9.198183815053271,10.060743340055494
2015,9.534737874937889,10.512292398279662
2016,9.41824967531918,10.834052722016642
2017,10.100131192953253,11.656344182312264
2018,10.248111055131446,11.797943409607017
2019,10.015316118363481,12.008866846615884
2020,9.390777078456667,11.501992167213011
2021,8.719918363812605,10.684752693054119
2022,9.233827608158474,11.095307880995708
2023,9.78386955785375,11.652079438920584
