Ratio salaire horaire / Smic,Travailleur non pauvre,Travailleur pauvre
5.39548937088594e-4,0.41102788621465014,0.06614348621483788
0.006409334555607012,0.42732036564070797,0.06891251233826895
0.012279120174125429,0.4430006414236912,0.07119684889210988
0.018148905792643846,0.45799166530544605,0.072919816413525
0.024018691411162266,0.4720242590614174,0.07406200475860852
0.02988847702968068,0.48524944514166324,0.07467656717294745
0.0357582626481991,0.49763796756093376,0.07478509283889453
0.04162804826671752,0.5091676515765657,0.07442146297960765
0.047497833885235936,0.519823397609348,0.07363006307961717
0.053367619503754356,0.5294191371432693,0.07246374548236233
0.05923740512227277,0.5380655554645938,0.07098160562216663
0.06510719074079119,0.5458625802557943,0.06923011546629827
0.07097697635930961,0.5528350410484826,0.06729783385896809
0.07684676197782803,0.5590129946258979,0.06526285717569028
0.08271654759634645,0.56436636899731,0.06318115512415401
0.08858633321486487,0.5688867312529664,0.061103009667789566
0.09445611883338327,0.5727761050459408,0.05907225164384998
0.10032590445190169,0.5760855682965383,0.05712579568733175
0.10619569007042011,0.578867513742265,0.05529346022445674
0.11206547568893853,0.5811753935084601,0.05361576151316141
0.11793526130745695,0.5829728084378443,0.05210214076463262
0.12380504692597537,0.5844408306015807,0.050751436839540635
0.12967483254449377,0.5856364588276906,0.04956583681445747
0.1355446181630122,0.5866080411582834,0.04854394556319932
0.1414144037815306,0.5874018140299583,0.04768151666236126
0.14728418940004903,0.5880497417677402,0.04697213651008311
0.15315397501856745,0.5886177350001927,0.04640784976482716
0.15902376063708587,0.5891533525927516,0.045995727596688775
0.1648935462556043,0.5896850093764122,0.04571180342930699
0.1707633318741227,0.5902379079219646,0.045541409617088725
0.17663311749264113,0.590837934591593,0.04547552886936605
0.18250290311115955,0.5915213735335255,0.045505579526737915
0.18837268872967797,0.5922866950706482,0.045623478329393063
0.1942424743481964,0.59314029617921,0.045821668786167426
0.2001122599667148,0.5940859898816819,0.046093120844842565
0.20598204558523323,0.5951250811790859,0.04643985454448371
0.21185183120375162,0.596276507650712,0.04684658631007669
0.21772161682227004,0.597514617436127,0.04730637183703825
