IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
10105;2;Téléphone fixe;216;;3;1;3;8;80;;80;;3
10107;1;Autre appareil de jardinage ou bricolage;307;TRACTEUR TONDEUSE;1;1;3;6;1550;;1550;;5
10107;2;TABLE + 8 CHAISES;408;;;1;3;3;380;;380;;5
10108;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;4;79;;79;;4
10108;2;TABLE DE SALON;404;;;2;3;3;10;;10;;4
10109;1;Cartouche d'imprimante;219;;2;1;3;4;22;;22;;3
10111;1;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;8;300;;300;;1
10113;1;Téléphone portable;215;;2;1;3;8;385;;385;1;3
10113;2;Cartouche d'imprimante;219;;5;1;3;3;35;;35;;3
10113;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;7;1600;;1600;;3
10115;1;Téléphone portable;215;;1;1;1;8;250;;250;3;4
10116;1;Lave-linge, lave-linge séchant;103;;1;1;1;2;270;;270;;3
10116;2;Téléphone portable;215;;1;1;1;2;168;;168;4;3
10116;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;2;340;;340;;3
10117;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;4;250;;250;;5
10117;2;Console de jeux vidéo de salon ou portable;206;;1;1;3;8;400;;400;;5
10118;1;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;3;27;;27;;6
10118;2;Micro-ordinateur portable;212;;2;1;3;6;270;;270;;6
10118;3;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;3;15;;15;;6
10118;4;ETAGERE EN VERRE;405;;;2;3;3;15;;15;;6
10118;5;BUREAU;405;;;2;3;3;35;;35;;6
10118;6;ARMOIRE;405;;;1;3;6;35;;35;;6
