IDENT_MEN;numbd;BNAT_PROD;BDCOD;NAT_PROD_A;NACHA_PROD;BDNEUF_PROD;BDCRED_PROD;BDLIEU_PROD;BDPRIX_PROD;BDPRIX_PRODRECUP;BDPRIX_PROD_D;BDOFFR_PROD;vag
00001;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;4;160;;160;;2
00001;2;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;4;49;;49;;2
00001;3;Téléphone portable;215;;2;1;3;4;198;;198;3;2
00003;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;1;7;500;;500;;5
00003;2;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;3;60;;60;;5
00003;3;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;1;7;500;;500;;5
00004;1;Téléphone portable;215;;1;1;3;8;39;;39;1;6
00005;1;Lave-linge, lave-linge séchant;103;;1;1;3;6;239;;239;;5
00005;2;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;1;6;1;3;4;50;;50;;5
00005;3;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;7;70;;70;;5
00005;4;MEUBLE SALLE DE BAIN;407;;;1;3;7;150;;150;;5
00005;5;ETAGERES;411;;;1;3;7;350;;350;;5
00006;1;Console de jeux vidéo de salon ou portable;206;;1;1;3;7;170;;170;;4
00006;2;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;7;80;;80;;4
00007;1;Console de jeux vidéo de salon ou portable;206;;2;2;3;10;350;;350;;3
00007;2;Téléphone portable;215;;1;1;3;3;300;;300;4;3
00008;1;Raclette, fondue, gauffre ou crèpière;114;;1;1;3;4;50;;50;;3
00008;2;Téléphone portable;215;;1;2;3;3;299;;299;4;3
00008;3;CHAISES;401;;;2;3;10;40;;40;;3
00008;4;LITS;405;;;1;3;4;300;;300;;3
00008;5;CAISSONS;405;;;1;3;7;60;;60;;3
00008;6;MATELAS;406;;;1;3;7;700;;700;;3
00008;7;MEUBLE SALLE DE BAIN;407;;;1;3;7;50;;50;;3
00008;8;ENSEMBLE DRESSING;407;;;1;3;7;90;;90;;3
00009;1;Téléphone portable;215;;1;1;3;3;500;;500;4;4
00009;2;Imprimante ou scanner;217;;1;1;3;3;60;;60;;4
00009;3;Cartouche d'imprimante;219;;2;1;3;3;999999;30;30;;4
00009;4;MATELAS + LIT;406;;;1;3;8;500;;500;;4
00010;1;Congélateur indépendant;102;;1;1;3;8;199;;199;;3
00010;2;Cartouche d'imprimante;219;;5;1;3;8;30;;30;;3
00011;1;Congélateur indépendant;102;;1;1;3;6;200;;200;;1
00012;1;Lave-linge, lave-linge séchant;103;;1;1;3;6;600;;600;;1
00013;1;Console de jeux vidéo de salon ou portable;206;;1;2;3;8;200;;200;;2
00013;2;Téléphone portable;215;;1;1;3;6;49;;49;4;2
00013;3;Baladeur, lecteur de CD/MP3 portable;233;;1;1;3;6;19;;19;;2
00013;4;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;7;70;;70;;2
00013;5;Pompe, système d'arrosage automatique;303;;1;1;3;7;45;;45;;2
00013;6;MATELAS;406;;;1;3;7;370;;370;;2
00014;1;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;7;150;;150;;3
00014;2;CUISINE INTEGREE;401;;;1;3;7;1500;;1500;;3
00014;3;TABLE BASSE;404;;;1;3;7;200;;200;;3
00014;4;CHAMBRE A COUCHER;405;;;1;3;7;900;;900;;3
00014;5;CABINE DOUCHE;407;;;1;3;7;900;;900;;3
00014;6;RAYONNAGE ETAGERE;411;;;1;3;7;300;;300;;3
00015;1;Téléphone portable;215;;1;1;3;4;59;;59;4;3
00017;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;999999;329;329;;5
00017;2;Lave-linge, lave-linge séchant;103;;1;1;3;8;999999;500;500;;5
00017;3;Téléphone portable;215;;1;1;3;8;20;;20;4;5
00018;1;Téléphone portable;215;;1;1;3;8;200;;200;3;2
00021;1;Téléphone portable;215;;1;1;3;3;159;;159;4;5
00021;2;Téléphone fixe;216;;1;1;3;4;25;;25;;5
00021;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;2;1;3;7;20;;20;;5
00022;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;700;;700;;6
00022;2;Micro-ordinateur de bureau;211;;1;1;3;4;399;;399;;6
00022;3;LIT;405;;;2;3;10;200;;200;;6
00023;1;Téléphone portable;215;;1;1;3;7;350;;350;3;6
00024;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;4;120;;120;;1
00024;2;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;4;90;;90;;1
00025;1;Tablette PC;214;;1;1;3;7;500;;500;;1
00026;1;Console de jeux vidéo de salon ou portable;206;;1;1;3;7;300;;300;;5
00027;1;Cuisinière, gazinière, plaque de cuisson, four ou mini four;106;;1;1;3;99;220;;220;;6
00028;1;Congélateur indépendant;102;;1;1;3;7;399;;399;;5
00028;2;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;500;;500;;5
00028;3;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;7;79;;79;;5
00029;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;1000;;1000;;4
00029;2;Lave-linge, lave-linge séchant;103;;1;1;3;7;600;;600;;4
00029;3;Micro-ordinateur de bureau;211;;1;1;3;7;450;;450;;4
00029;4;Téléphone portable;215;;2;1;3;4;30;;30;1;4
00030;1;PIN;404;;;1;3;8;60;;60;;2
00031;1;Cuisinière, gazinière, plaque de cuisson, four ou mini four;106;;1;1;3;5;60;;60;;1
00031;2;Radio, radio réveil;207;;;1;3;9;100;;100;;1
00031;3;Téléphone portable;215;;;1;3;8;20;;20;;1
00032;1;Téléphone portable;215;;1;2;3;3;300;;300;4;1
00032;2;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;2;1;3;8;50;;50;;1
00032;3;CANAPE;403;;;1;3;7;1090;;1090;;1
00034;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;6;300;;300;;3
00034;2;Console de jeux vidéo de salon ou portable;206;;1;1;3;6;300;;300;;3
00034;3;Micro-ordinateur portable;212;;1;1;3;6;650;;650;;3
00034;4;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;6;150;;150;;3
00036;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;9;10;;10;;6
00036;2;Cuiseur, friteuse, autocuiseur;113;;1;1;3;9;25;;25;;6
00036;3;Téléviseur, combiné télé magnétoscope/DVD;201;;;1;3;4;180;;180;;6
00036;4;Téléphone portable;215;;;1;3;8;60;;60;;6
00037;1;Four à micro-ondes;107;;1;2;3;10;100;;100;;4
00037;2;Hotte de cuisine;108;;1;1;3;4;20;;20;;4
00037;3;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;9;10;;10;;4
00037;4;Téléphone portable;215;;;1;3;8;190;;190;;4
00038;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;380;;380;;1
00038;2;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;8;450;;450;;1
00039;1;Téléphone portable;215;;1;1;3;7;1;;1;3;1
00040;1;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;4;24;;24;;2
00041;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;6;215;;215;;3
00041;2;Téléviseur, combiné télé magnétoscope/DVD;201;;;1;3;8;232;;232;;3
00042;1;Lave-linge, lave-linge séchant;103;;1;1;3;7;319;;319;;6
00043;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;220;;220;;1
00043;2;Cartouche d'imprimante;219;;4;1;3;4;30;;30;;1
00044;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;589;;589;;5
00044;2;Téléphone portable;215;;1;1;3;8;120;;120;1;5
00045;1;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;700;;700;;3
00045;2;Console de jeux vidéo de salon ou portable;206;;1;1;3;4;400;;400;;3
00045;3;Micro-ordinateur portable;212;;1;1;3;3;650;;650;;3
00045;4;Instrument de musique;242;;1;2;3;3;350;;350;;3
00046;1;Radio, radio-réveil;207;;1;1;3;8;49;;49;;3
00046;2;Micro-ordinateur portable;212;;1;1;3;3;3000;;3000;;3
00047;1;Sèche-linge indépendant;104;;1;2;3;3;40;;40;;5
00047;2;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;3;46;;46;;5
00047;3;Nettoyeur haute pression (ex : karcher );304;;1;1;3;3;54;;54;;5
00048;1;Robot, mixeur, hachoir, balance alimentaire, couteau électrique;116;;1;1;2;10;1160;;1160;;3
00048;2;Console de jeux vidéo de salon ou portable;206;;1;2;3;7;159;;159;;3
00050;1;MATELAS;405;;;1;3;6;280;;280;;1
00051;1;Lave-linge, lave-linge séchant;103;;1;1;3;8;600;;600;;1
00052;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;3;450;;450;;5
00052;2;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;3;200;;200;;5
00052;3;TABLE BASSE  DE SALON;404;;;1;3;3;150;;150;;5
00053;1;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;4;65;;65;;4
00054;1;Autre(s) appareil(s) électroménager(s);122;VENTILATEUR;1;1;3;7;50;;50;;3
00054;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;250;;250;;3
00054;3;Console de jeux vidéo de salon ou portable;206;;1;1;3;7;350;;350;;3
00055;1;Téléphone portable;215;;1;1;3;8;450;;450;3;2
00056;1;Congélateur indépendant;102;;1;1;3;8;200;;200;;1
00056;2;Téléviseur, combiné télé magnétoscope/DVD;201;;;1;3;8;200;;200;;1
00056;3;Téléphone portable;215;;;1;3;8;25;;25;;1
00057;1;Téléphone portable;215;;1;1;3;8;500;;500;1;3
00058;1;Tondeuse à gazon;301;;1;1;3;8;1500;;1500;;6
00059;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;4;39;;39;;3
00059;2;ETAGERES;411;;;1;3;7;40;;40;;3
00060;1;Téléphone portable;215;;1;1;3;8;259;;259;4;3
00060;2;FAUTEUIL D'ANGLE;403;;;1;3;7;699;;699;;3
00062;1;Raclette, fondue, gauffre ou crèpière;114;;2;1;3;4;40;;40;;1
00062;2;Robot, mixeur, hachoir, balance alimentaire, couteau électrique;116;;1;1;3;4;25;;25;;1
00062;3;Téléviseur, combiné télé magnétoscope/DVD;201;;2;2;3;10;50;;50;;1
00064;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;2;7;700;;700;;6
00065;1;SALLE A MANGER;401;;;1;1;7;999999;944;944;;4
00065;2;CHAMBRE A COUCHER;405;;;1;1;7;999999;500;500;;4
00068;1;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;7;999999;;59;;3
00068;2;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;2;1;3;7;200;;200;;3
00068;3;DRESSING;405;;;1;3;7;350;;350;;3
00068;4;CHAISES DE JARDIN;408;;;1;3;4;60;;60;;3
00069;1;SIEGE;403;;;1;3;8;88;;88;;3
00070;1;Téléphone portable;215;;1;1;3;8;80;;80;1;3
00072;1;lecteur DVD/blue ray, lecteur graveur de CD/DVD de salon, magnétoscope...;203;;1;1;3;7;45;;45;;3
00072;2;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;SOURIS;1;1;3;4;10;;10;;3
00072;3;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;7;20;;20;;3
00072;4;CANAPE;403;;;1;3;7;2800;;2800;;3
00072;5;BIBLIOTHEQUE;404;;;1;3;10;799;;799;;3
00073;1;Cuisinière, plaque de cuisson, four ou mini four;106;;2;1;3;3;740;;740;;3
00073;2;Console de jeux vidéo de salon ou portable;206;;1;1;3;6;400;;400;;3
00073;3;Netbook, ultraportable;213;;1;1;3;6;189;;189;;3
00073;4;Téléphone portable;215;;1;1;3;7;169;;169;3;3
00073;5;Téléphone fixe;216;;1;1;3;7;29;;29;;3
00074;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;4;120;;120;;3
00075;1;CANAPE;403;;;2;1;10;150;;150;;1
00077;1;Hotte de cuisine;108;;1;1;3;7;109;;109;;3
00077;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;4;219;;219;;3
00078;1;Téléphone fixe;216;;1;1;1;8;999999;;29;;5
00079;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;449;;449;;1
00079;2;Cartouche d'imprimante;219;;99;1;3;99;999999;36;36;;1
00079;3;barbecue de jardin;409;;;1;3;7;999999;110;110;;1
00080;1;MEUBLE ENFANT;405;;;1;3;7;80;;80;;6
00080;2;CHAISE HAUTE;412;;;1;3;7;90;;90;;6
00081;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;350;;350;;3
00082;1;MEUBLE TELE;404;;;1;3;7;349;;349;;3
00083;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;525;;525;;3
00083;2;Lave-linge, lave-linge séchant;103;;1;2;3;10;350;;350;;3
00083;3;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;870;;870;;3
00083;4;Fer à repasser, centrale à vapeur;119;;1;1;3;7;79;;79;;3
00083;5;Autre(s) appareil(s) électroménager(s);122;VENTILATEUR;1;1;3;4;89;;89;;3
00083;6;Chaîne HI-FI complète, mini-chaîne, éléments de chaine HI-FI;205;;1;2;3;10;275;;275;;3
00084;1;MATELAS;406;;;1;1;9;1000;;1000;;2
00085;1;Robot, mixeur, hachoir, balance alimentaire, couteau électrique;116;;1;1;1;10;2000;;2000;;1
00085;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;1;3;1200;;1200;;1
00087;1;BUREAU;410;;;1;3;7;250;;250;;6
00088;1;Fer à repasser, centrale à vapeur;119;;1;1;3;7;30;;30;;5
00088;2;Autre(s) appareil(s) électroménager(s);122;SECHE CHEVEUX;1;1;3;4;20;;20;;5
00089;1;Débroussailleuse, taille haie, broyeuse, tronçonneuse et autres appareils d'entretien du jardin;305;;1;1;3;8;1200;;1200;;3
00089;2;LIT;405;;;1;3;7;999999;;700;;3
00089;3;ARMOIRE;405;;;1;3;7;999999;;700;;3
00089;4;MATELAS;406;;;1;3;7;999999;;700;;3
00090;1;Cartouche d'imprimante;219;;1;1;3;8;100;;100;;1
00090;2;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;8;85;;85;;1
00091;1;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;8;59;;59;;3
00091;2;Tablette PC;214;;1;1;3;8;59;;59;;3
00091;3;Téléphone portable;215;;1;1;3;8;6;;6;3;3
00092;1;Tablette PC;214;;1;1;3;7;280;;280;;3
00092;2;Instrument de musique;242;;1;2;3;10;9000;;9000;;3
00093;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;300;;300;;5
00093;2;LIT ET LIERIE;406;;;1;3;8;11500;;11500;;5
00094;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;7;59;;59;;2
00094;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;7;120;;120;;2
00095;1;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;4;30;;30;;2
00096;1;Micro-ordinateur portable;212;;1;1;3;8;600;;600;;5
00096;2;Téléphone portable;215;;1;1;3;8;130;;130;1;5
00097;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;8;65;;65;;5
00097;2;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;3;180;;180;;5
00097;3;Cartouche d'imprimante;219;;2;1;3;4;24;;24;;5
00097;4;Tondeuse à gazon;301;;1;2;3;10;50;;50;;5
00097;5;CANAPE;403;;;2;3;3;30;;30;;5
00097;6;TABLE BASSE;404;;;1;3;7;19;;19;;5
00097;7;LIT;405;;;1;3;7;69;;69;;5
00097;8;TONNELLE;408;;;1;3;7;69;;69;;5
00100;1;Appareil pour l'alimentation du bébé;118;;1;1;3;3;30;;30;;4
00100;2;Nettoyeur haute pression (ex : karcher );304;;1;1;3;4;70;;70;;4
00100;3;6 BOITES SOUS VIDE + MACHINE POUR FAIRE LE VIDE;407;;;1;3;10;385;;385;;4
00100;4;TABLE JARDIN;408;;;2;3;3;60;;60;;4
00100;5;10 CHAISES JARDIN;408;;;2;3;3;100;;100;;4
00100;6;POUSSETTE;412;;;2;3;3;170;;170;;4
00101;1;Téléphone portable;215;;1;1;3;8;500;;500;3;5
00102;1;Lave-linge, lave-linge séchant;103;;1;1;3;8;375;;375;;2
00102;2;Micro-ordinateur de bureau;211;;;1;3;4;1000;;1000;;2
00103;1;Four à micro-ondes;107;;1;1;3;6;45;;45;;1
00103;2;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;6;20;;20;;1
00103;3;Cuiseur, friteuse, autocuiseur;113;;1;1;3;6;30;;30;;1
00103;4;Console de jeux vidéo de salon ou portable;206;;1;2;3;9;160;;160;;1
00103;5;Instrument de musique;242;;1;2;3;9;70;;70;;1
00103;6;CANAPE;403;;;1;3;7;260;;260;;1
00103;7;BUREAU;405;;;1;3;7;90;;90;;1
00103;8;SOMMIER;406;;;1;3;7;70;;70;;1
00103;9;MATELAT;406;;;1;3;7;170;;170;;1
00104;1;Tablette PC;214;;1;1;3;4;269;;269;;6
00105;1;Congélateur indépendant;102;;1;1;3;3;187;;187;;6
00105;2;Téléviseur, combiné télé magnétoscope/DVD;201;;1;1;3;3;280;;280;;6
00106;1;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;450;;450;;2
00106;2;Machine à pain, yaourtière, sorbetière ou confiturier;115;;1;2;3;8;50;;50;;2
00106;3;Tablette PC;214;;1;1;3;4;80;;80;;2
00106;4;Téléphone portable;215;;1;1;3;4;180;;180;1;2
00107;1;Téléphone portable;215;;1;1;3;8;1;;1;3;5
00108;1;TABLE ET CHAISES;401;;;1;2;7;1600;;1600;;1
00109;1;Sèche-linge indépendant;104;;1;2;3;10;100;;100;;5
00109;2;Console de jeux vidéo de salon ou portable;206;;1;1;3;4;23;;23;;5
00109;3;Téléphone portable;215;;3;1;3;4;70;;70;4;5
00109;4;TABLE ET CHAISES;401;;;1;1;7;70;;70;;5
00109;5;LIT SUPERPOSE ET B;405;;;1;1;6;230;;230;;5
00109;6;ARMOIRES;405;;;1;1;6;200;;200;;5
00109;7;ETAGERES;411;;;1;3;8;40;;40;;5
00109;8;LIT ET CHAISE HAUTE;412;;;2;3;10;35;;35;;5
00110;1;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;7;999999;999999;150;;6
00110;2;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;7;999999;29;29;;6
00110;3;Imprimante ou scanner;217;;1;1;3;7;70;;70;;6
00110;4;Cartouche d'imprimante;219;;4;1;3;7;999999;36;36;;6
00110;5;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;CLE USB;1;1;3;3;999999;12;12;;6
00110;6;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;6;999999;86;86;;6
00110;7;TABLE BASSE;405;;;2;3;10;40;;40;;6
00113;1;Lave-linge, lave-linge séchant;103;;1;1;1;7;400;;400;;3
00113;2;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;1;7;60;;60;;3
00113;3;Fer à repasser, centrale à vapeur;119;;1;1;3;7;30;;30;;3
00113;4;Micro-ordinateur de bureau;211;;1;1;3;7;1200;;1200;;3
00113;5;Netbook, ultraportable;213;;1;1;3;7;250;;250;;3
00113;6;Cartouche d'imprimante;219;;4;1;3;4;25;;25;;3
00113;7;Autre périphérique informatique (clef USB, souris, clavier, enceintes...);221;CLE USB;1;1;3;4;999999;10;10;;3
00115;1;Téléphone portable;215;;1;1;3;3;200;;200;4;1
00116;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;400;;400;;1
00116;2;Hotte de cuisine;108;;1;1;3;8;149;;149;;1
00118;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;420;;420;;5
00118;2;Micro-ordinateur portable;212;;1;1;3;8;1300;;1300;;5
00118;3;Tablette PC;214;;1;1;3;8;350;;350;;5
00119;1;Tondeuse à gazon;301;;1;1;3;7;180;;180;;3
00119;2;Nettoyeur haute pression (ex : karcher );304;;1;1;3;7;90;;90;;3
00120;1;Cuiseur, friteuse, autocuiseur;113;;1;1;3;4;70;;70;;5
00120;2;Tablette PC;214;;1;1;3;8;40;;40;;5
00122;1;MATELAS;406;;;1;3;9;250;;250;;2
00126;1;Cartouche d'imprimante;219;;2;1;3;4;21;;21;;1
00126;2;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;7;189;;189;;1
00126;3;LIT;406;;;1;3;7;999999;250;250;;1
00127;1;Téléphone portable;215;;1;1;3;8;70;;70;1;2
00128;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;200;;200;;4
00128;2;TABLE DE NUIT;405;;;1;3;8;40;;40;;4
00128;3;ETAGERES;407;;;1;3;8;65;;65;;4
00130;1;Lave-linge, lave-linge séchant;103;;1;1;3;8;250;;250;;6
00130;2;Micro-ordinateur portable;212;;1;1;3;4;319;;319;;6
00130;3;Cartouche d'imprimante;219;;1;1;3;7;39;;39;;6
00132;1;Cuiseur, friteuse, autocuiseur;113;;2;1;3;7;24;;24;;4
00132;2;Cartouche d'imprimante;219;;4;1;3;4;50;;50;;4
00132;3;Appareil photo numérique;231;;1;1;3;7;599;;599;;4
00132;4;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;1;1;3;7;300;;300;;4
00132;5;MEUBLES SALLE DE BAIN RENOVATION COMPLETE;407;;;1;3;7;4500;;4500;;4
00132;6;MEUBLES CHAMBRE BEBE;412;;;1;3;7;899;;899;;4
00132;7;PARC ET BALANCELLE;412;;;1;3;7;239;;239;;4
00132;8;CHAISE HAUTE;412;;;1;3;3;58;;58;;4
00133;1;TABLES 8 CHAISES ET BUFFET;413;;;1;3;8;8500;;8500;;6
00134;1;Micro-ordinateur portable;212;;;1;3;3;250;;250;;4
00135;1;Climatiseur, déshumidificateur;110;;1;1;3;7;169;;169;;6
00135;2;CHAISES DE SALLE A MANGER;401;;;1;3;7;1200;;1200;;6
00135;3;FAUTEUIL;403;;;1;3;7;850;;850;;6
00135;4;CANAPE;403;;;1;1;7;4700;;4700;;6
00137;1;Climatiseur, déshumidificateur;110;;2;1;3;8;5000;;5000;;5
00137;2;Motoculteur, motobineuse;302;;1;1;3;8;200;;200;;5
00140;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;7;789;;789;;6
00140;2;Lave-linge, lave-linge séchant;103;;1;1;3;7;780;;780;;6
00140;3;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;480;;480;;6
00140;4;Hotte de cuisine;108;;1;1;3;7;120;;120;;6
00140;5;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;7;55;;55;;6
00140;6;Climatiseur, déshumidificateur;110;;2;1;3;8;950;;950;;6
00140;7;VAISSELIER;402;;;1;3;7;500;;500;;6
00141;1;Lave-linge, lave-linge séchant;103;;1;1;3;4;300;;300;;3
00141;2;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;7;75;;75;;3
00142;1;Réfrigérateur, réfrigérateur congélateur;101;;1;1;3;8;540;;540;;2
00142;2;Sèche-linge indépendant;104;;1;1;3;8;520;;520;;2
00142;3;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;4;70;;70;;2
00142;4;CANAPES;403;;;1;3;8;2400;;2400;;2
00142;5;TABLE BASSE;404;;;1;3;8;200;;200;;2
00143;1;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;600;;600;;5
00143;2;Téléphone portable;215;;1;1;3;8;1000;;1000;4;5
00143;3;CANAPE;403;;;1;3;7;1700;;1700;;5
00144;1;MATELAS;406;;;1;3;4;420;;420;;4
00146;1;Téléphone portable;215;;1;1;3;7;700;;700;4;4
00146;2;Appareil photo argentique;241;;1;1;3;7;70;;70;;4
00146;3;Equipement de sport (raquettes, planche à voile, planche de surf, roller, trotinettes...);243;;3;1;3;8;100;;100;;4
00147;1;MEUBLE DE CUISINE;401;;;1;3;7;200;;200;;1
00149;1;LIT;405;;;1;3;7;149;;149;;3
00151;1;Téléphone portable;215;;1;1;3;3;565;;565;4;1
00151;2;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;1;1;3;7;60;;60;;1
00151;3;LIT ET MATELAS;405;;;1;3;3;120;;120;;1
00151;4;PLACARDS;411;;;1;3;7;2000;;2000;;1
00151;5;RAYONNAGES;411;;;1;3;7;500;;500;;1
00152;1;Motoculteur, motobineuse;302;;1;1;3;5;60;;60;;6
00152;2;FAUTEUIL;403;;;1;3;9;3000;;3000;;6
00153;1;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;6;78;;78;;1
00153;2;Four à micro-ondes;107;;1;1;3;7;100;;100;;1
00153;3;Aspirateur, nettoyeur vapeur, shampouineuse;109;;1;1;3;6;100;;100;;1
00153;4;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;6;50;;50;;1
00153;5;Rasoir électrique, épilateur, tondeuse ou appareil pour soin du cheveu;120;;1;1;3;4;40;;40;;1
00153;6;LIT;405;;;1;3;3;790;;790;;1
00154;1;Réfrigérateur, réfrigérateur congélateur;101;;1;2;3;10;150;;150;;6
00154;2;Lave-linge, lave-linge séchant;103;;1;2;3;10;150;;150;;6
00154;3;Cuisinière, plaque de cuisson, four ou mini four;106;;1;1;3;7;300;;300;;6
00154;4;Four à micro-ondes;107;;1;1;3;7;20;;20;;6
00154;5;Expresso, cafetière, bouilloire, grille pain ou appareil pour la préparation de jus;112;;1;1;3;4;40;;40;;6
00154;6;Cuiseur, friteuse, autocuiseur;113;;1;1;3;4;20;;20;;6
00154;7;Robot, mixeur, hachoir, balance alimentaire, couteau électrique;116;;1;1;3;8;999999;999999;40;;6
00154;8;Fer à repasser, centrale à vapeur;119;;1;1;3;4;999999;999999;20;;6
00154;9;Autre(s) appareil(s) électroménager(s);122;CAVE A VIN;1;1;3;4;100;;100;;6
00154;10;Perceuse, visseuse, ponceuse, scie sauteuse, poste à souder, chalumeau et autres;306;;3;1;3;7;999999;999999;180;;6
00154;11;TABLE;401;;;1;3;7;500;;500;;6
00154;12;CHAISES;401;;;2;3;10;80;;80;;6
00154;13;CANAPE;403;;;1;3;7;200;;200;;6
00154;14;TABLE BASSE;403;;;2;3;10;50;;50;;6
00154;15;MEUBLE DE TELE;404;;;1;3;7;200;;200;;6
00154;16;LIT;405;;;1;3;8;300;;300;;6
00154;17;MATELAS;406;;;1;3;7;200;;200;;6
00154;18;TABLE ET CHAISES;408;;;2;3;10;100;;100;;6
00155;1;Cartouche d'imprimante;219;;2;1;3;7;999999;999999;22;;1
